SS17,M 348.5 270.5 L 348.5 282.5 L 347.5 283.5 L 335.5 283.5 L 335.5 294.5 L 347.5 294.5 L 348.5 295.5 L 348.5 307.5 L 385.5 307.5 L 385.5 296.5 L 373.5 296.5 L 372.5 295.5 L 372.5 283.5 L 360.5 283.5 L 359.5 282.5 L 359.5 270.5 z
SS22,M 283.5 270.5 L 283.5 294.5 L 294.5 294.5 L 294.5 282.5 L 295.5 281.5 L 308.5 281.5 L 309.5 282.5 L 309.5 294.5 L 320.5 294.5 L 320.5 270.5 z
Timber Ridge 01,M 244.5 270.5 L 244.5 294.5 L 281.5 294.5 L 281.5 270.5 z
Roswell 02,M 218.5 270.5 L 218.5 282.5 L 217.5 283.5 L 205.5 283.5 L 205.5 307.5 L 242.5 307.5 L 242.5 270.5 z
Murdock 01,M 166.5 270.5 L 166.5 282.5 L 165.5 283.5 L 140.5 283.5 L 140.5 307.5 L 152.5 307.5 L 153.5 308.5 L 153.5 320.5 L 177.5 320.5 L 177.5 270.5 z
Elizabeth 02,M 62.5 270.5 L 62.5 282.5 L 61.5 283.5 L 49.5 283.5 L 49.5 307.5 L 73.5 307.5 L 73.5 270.5 z
JC19,M 426.5 257.5 L 426.5 281.5 L 451.5 281.5 L 452.5 282.5 L 452.5 294.5 L 463.5 294.5 L 463.5 282.5 L 464.5 281.5 L 476.5 281.5 L 476.5 270.5 L 464.5 270.5 L 463.5 269.5 L 463.5 257.5 z
RW20,M 374.5 257.5 L 374.5 269.5 L 373.5 270.5 L 361.5 270.5 L 361.5 281.5 L 373.5 281.5 L 374.5 282.5 L 374.5 294.5 L 398.5 294.5 L 398.5 270.5 L 386.5 270.5 L 385.5 269.5 L 385.5 257.5 z
SS15A,M 322.5 257.5 L 322.5 281.5 L 346.5 281.5 L 346.5 257.5 z
Chestnut Ridge 01,M 192.5 257.5 L 192.5 269.5 L 191.5 270.5 L 179.5 270.5 L 179.5 294.5 L 203.5 294.5 L 203.5 282.5 L 204.5 281.5 L 216.5 281.5 L 216.5 257.5 z
Sandy Plains 01,M 140.5 257.5 L 140.5 269.5 L 139.5 270.5 L 114.5 270.5 L 114.5 281.5 L 164.5 281.5 L 164.5 257.5 z
JC06,M 556.5 244.5 L 556.5 256.5 L 555.5 257.5 L 543.5 257.5 L 543.5 281.5 L 554.5 281.5 L 554.5 269.5 L 555.5 268.5 L 567.5 268.5 L 567.5 256.5 L 568.5 255.5 L 580.5 255.5 L 580.5 244.5 z
JC14,M 452.5 244.5 L 452.5 255.5 L 464.5 255.5 L 465.5 256.5 L 465.5 268.5 L 489.5 268.5 L 489.5 244.5 z
RW04,M 361.5 244.5 L 361.5 256.5 L 360.5 257.5 L 348.5 257.5 L 348.5 268.5 L 372.5 268.5 L 372.5 256.5 L 373.5 255.5 L 385.5 255.5 L 385.5 244.5 z
SS15B,M 322.5 244.5 L 322.5 255.5 L 359.5 255.5 L 359.5 244.5 z
