KINGSLEY ELEM,M 448.5 346.5 L 448.5 358.5 L 447.5 359.5 L 435.5 359.5 L 435.5 370.5 L 447.5 370.5 L 448.5 371.5 L 448.5 383.5 L 459.5 383.5 L 459.5 371.5 L 460.5 370.5 L 472.5 370.5 L 472.5 346.5 z
DUNWOODY LIBRARY,M 396.5 346.5 L 396.5 358.5 L 395.5 359.5 L 383.5 359.5 L 383.5 371.5 L 382.5 372.5 L 370.5 372.5 L 370.5 396.5 L 381.5 396.5 L 381.5 384.5 L 382.5 383.5 L 394.5 383.5 L 394.5 371.5 L 395.5 370.5 L 407.5 370.5 L 407.5 346.5 z
Sewell Mill 03,M 88.5 336.5 L 88.5 361.5 L 87.5 362.5 L 75.5 362.5 L 75.5 373.5 L 112.5 373.5 L 112.5 348.5 L 113.5 347.5 L 125.5 347.5 L 125.5 336.5 z
Marietta 5A,M 75.5 336.5 L 75.5 360.5 L 86.5 360.5 L 86.5 336.5 z
MT. VERNON EAST,M 409.5 333.5 L 409.5 370.5 L 433.5 370.5 L 433.5 358.5 L 434.5 357.5 L 446.5 357.5 L 446.5 346.5 L 421.5 346.5 L 420.5 345.5 L 420.5 333.5 z
AUSTIN,M 383.5 333.5 L 383.5 345.5 L 382.5 346.5 L 370.5 346.5 L 370.5 358.5 L 369.5 359.5 L 357.5 359.5 L 357.5 370.5 L 381.5 370.5 L 381.5 358.5 L 382.5 357.5 L 394.5 357.5 L 394.5 345.5 L 395.5 344.5 L 407.5 344.5 L 407.5 333.5 z
Mount Bethel 03,M 218.5 323.5 L 218.5 335.5 L 217.5 336.5 L 205.5 336.5 L 205.5 347.5 L 217.5 347.5 L 218.5 348.5 L 218.5 360.5 L 229.5 360.5 L 229.5 348.5 L 230.5 347.5 L 242.5 347.5 L 242.5 335.5 L 243.5 334.5 L 255.5 334.5 L 255.5 323.5 z
SS19B,M 294.5 322.5 L 294.5 334.5 L 293.5 335.5 L 281.5 335.5 L 281.5 346.5 L 305.5 346.5 L 305.5 334.5 L 306.5 333.5 L 318.5 333.5 L 318.5 322.5 z
Eastside 01,M 179.5 310.5 L 179.5 322.5 L 178.5 323.5 L 166.5 323.5 L 166.5 347.5 L 203.5 347.5 L 203.5 323.5 L 191.5 323.5 L 190.5 322.5 L 190.5 310.5 z
Fullers Park 01,M 153.5 310.5 L 153.5 322.5 L 152.5 323.5 L 140.5 323.5 L 140.5 335.5 L 139.5 336.5 L 127.5 336.5 L 127.5 347.5 L 164.5 347.5 L 164.5 322.5 L 165.5 321.5 L 177.5 321.5 L 177.5 310.5 z
SS26,M 320.5 309.5 L 320.5 334.5 L 319.5 335.5 L 307.5 335.5 L 307.5 346.5 L 331.5 346.5 L 331.5 334.5 L 332.5 333.5 L 344.5 333.5 L 344.5 309.5 z
Dickerson 01,M 205.5 297.5 L 205.5 334.5 L 216.5 334.5 L 216.5 322.5 L 217.5 321.5 L 229.5 321.5 L 229.5 309.5 L 230.5 308.5 L 242.5 308.5 L 242.5 297.5 z
Sewell Mill 01,M 127.5 297.5 L 127.5 309.5 L 126.5 310.5 L 114.5 310.5 L 114.5 334.5 L 138.5 334.5 L 138.5 322.5 L 139.5 321.5 L 151.5 321.5 L 151.5 297.5 z
Elizabeth 04,M 75.5 297.5 L 75.5 334.5 L 112.5 334.5 L 112.5 323.5 L 87.5 323.5 L 86.5 322.5 L 86.5 297.5 z
Elizabeth 03,M 62.5 297.5 L 62.5 309.5 L 61.5 310.5 L 49.5 310.5 L 49.5 334.5 L 61.5 334.5 L 62.5 335.5 L 62.5 347.5 L 73.5 347.5 L 73.5 297.5 z
East Piedmont 01,M 49.5 297.5 L 49.5 308.5 L 60.5 308.5 L 60.5 297.5 z
JC12,M 528.5 296.5 L 528.5 307.5 L 540.5 307.5 L 541.5 308.5 L 541.5 320.5 L 565.5 320.5 L 565.5 296.5 z
JC13B,M 515.5 296.5 L 515.5 307.5 L 526.5 307.5 L 526.5 296.5 z
SS25,M 463.5 296.5 L 463.5 320.5 L 474.5 320.5 L 474.5 308.5 L 475.5 307.5 L 487.5 307.5 L 487.5 296.5 z
SS01,M 411.5 296.5 L 411.5 308.5 L 410.5 309.5 L 398.5 309.5 L 398.5 320.5 L 448.5 320.5 L 448.5 296.5 z
Mount Bethel 01,M 244.5 284.5 L 244.5 309.5 L 243.5 310.5 L 231.5 310.5 L 231.5 321.5 L 268.5 321.5 L 268.5 309.5 L 269.5 308.5 L 281.5 308.5 L 281.5 284.5 z
Dodgen 01,M 179.5 284.5 L 179.5 308.5 L 191.5 308.5 L 192.5 309.5 L 192.5 321.5 L 203.5 321.5 L 203.5 284.5 z
Marietta 6B,M 75.5 284.5 L 75.5 295.5 L 87.5 295.5 L 88.5 296.5 L 88.5 321.5 L 112.5 321.5 L 112.5 297.5 L 100.5 297.5 L 99.5 296.5 L 99.5 284.5 z
SS20,M 346.5 283.5 L 346.5 320.5 L 357.5 320.5 L 357.5 308.5 L 358.5 307.5 L 370.5 307.5 L 370.5 296.5 L 358.5 296.5 L 357.5 295.5 L 357.5 283.5 z
SS19A,M 320.5 283.5 L 320.5 295.5 L 319.5 296.5 L 307.5 296.5 L 307.5 320.5 L 318.5 320.5 L 318.5 308.5 L 319.5 307.5 L 344.5 307.5 L 344.5 296.5 L 332.5 296.5 L 331.5 295.5 L 331.5 283.5 z
Elizabeth 05,M 114.5 271.5 L 114.5 283.5 L 113.5 284.5 L 101.5 284.5 L 101.5 295.5 L 113.5 295.5 L 114.5 296.5 L 114.5 308.5 L 125.5 308.5 L 125.5 296.5 L 126.5 295.5 L 138.5 295.5 L 138.5 271.5 z
JC11,M 515.5 270.5 L 515.5 281.5 L 527.5 281.5 L 528.5 282.5 L 528.5 294.5 L 578.5 294.5 L 578.5 283.5 L 553.5 283.5 L 552.5 282.5 L 552.5 270.5 z
JC13A,M 502.5 270.5 L 502.5 282.5 L 501.5 283.5 L 489.5 283.5 L 489.5 307.5 L 500.5 307.5 L 500.5 295.5 L 501.5 294.5 L 526.5 294.5 L 526.5 283.5 L 514.5 283.5 L 513.5 282.5 L 513.5 270.5 z
RW21,M 437.5 270.5 L 437.5 282.5 L 436.5 283.5 L 424.5 283.5 L 424.5 294.5 L 449.5 294.5 L 450.5 295.5 L 450.5 320.5 L 461.5 320.5 L 461.5 295.5 L 462.5 294.5 L 474.5 294.5 L 474.5 283.5 L 449.5 283.5 L 448.5 282.5 L 448.5 270.5 z
SS17,M 372.5 270.5 L 372.5 282.5 L 371.5 283.5 L 359.5 283.5 L 359.5 294.5 L 371.5 294.5 L 372.5 295.5 L 372.5 307.5 L 409.5 307.5 L 409.5 296.5 L 397.5 296.5 L 396.5 295.5 L 396.5 283.5 L 384.5 283.5 L 383.5 282.5 L 383.5 270.5 z
SS22,M 307.5 270.5 L 307.5 294.5 L 318.5 294.5 L 318.5 282.5 L 319.5 281.5 L 332.5 281.5 L 333.5 282.5 L 333.5 294.5 L 344.5 294.5 L 344.5 270.5 z
Timber Ridge 01,M 244.5 258.5 L 244.5 282.5 L 281.5 282.5 L 281.5 258.5 z
Roswell 02,M 218.5 258.5 L 218.5 270.5 L 217.5 271.5 L 205.5 271.5 L 205.5 295.5 L 242.5 295.5 L 242.5 258.5 z
Murdock 01,M 166.5 258.5 L 166.5 270.5 L 165.5 271.5 L 140.5 271.5 L 140.5 295.5 L 152.5 295.5 L 153.5 296.5 L 153.5 308.5 L 177.5 308.5 L 177.5 258.5 z
Elizabeth 02,M 62.5 258.5 L 62.5 270.5 L 61.5 271.5 L 49.5 271.5 L 49.5 295.5 L 73.5 295.5 L 73.5 258.5 z
JC19,M 450.5 257.5 L 450.5 281.5 L 475.5 281.5 L 476.5 282.5 L 476.5 294.5 L 487.5 294.5 L 487.5 282.5 L 488.5 281.5 L 500.5 281.5 L 500.5 270.5 L 488.5 270.5 L 487.5 269.5 L 487.5 257.5 z
RW20,M 398.5 257.5 L 398.5 269.5 L 397.5 270.5 L 385.5 270.5 L 385.5 281.5 L 397.5 281.5 L 398.5 282.5 L 398.5 294.5 L 422.5 294.5 L 422.5 270.5 L 410.5 270.5 L 409.5 269.5 L 409.5 257.5 z
SS15A,M 346.5 257.5 L 346.5 281.5 L 370.5 281.5 L 370.5 257.5 z
Chestnut Ridge 01,M 192.5 245.5 L 192.5 257.5 L 191.5 258.5 L 179.5 258.5 L 179.5 282.5 L 203.5 282.5 L 203.5 270.5 L 204.5 269.5 L 216.5 269.5 L 216.5 245.5 z
Sandy Plains 01,M 140.5 245.5 L 140.5 257.5 L 139.5 258.5 L 114.5 258.5 L 114.5 269.5 L 164.5 269.5 L 164.5 245.5 z
JC06,M 580.5 244.5 L 580.5 256.5 L 579.5 257.5 L 567.5 257.5 L 567.5 281.5 L 578.5 281.5 L 578.5 269.5 L 579.5 268.5 L 591.5 268.5 L 591.5 256.5 L 592.5 255.5 L 604.5 255.5 L 604.5 244.5 z
JC14,M 476.5 244.5 L 476.5 255.5 L 488.5 255.5 L 489.5 256.5 L 489.5 268.5 L 513.5 268.5 L 513.5 244.5 z
RW04,M 385.5 244.5 L 385.5 256.5 L 384.5 257.5 L 372.5 257.5 L 372.5 268.5 L 396.5 268.5 L 396.5 256.5 L 397.5 255.5 L 409.5 255.5 L 409.5 244.5 z
SS15B,M 346.5 244.5 L 346.5 255.5 L 383.5 255.5 L 383.5 244.5 z
RW11A,M 320.5 244.5 L 320.5 256.5 L 319.5 257.5 L 307.5 257.5 L 307.5 268.5 L 344.5 268.5 L 344.5 244.5 z
Simpson 01,M 114.5 232.5 L 114.5 243.5 L 126.5 243.5 L 127.5 244.5 L 127.5 256.5 L 138.5 256.5 L 138.5 244.5 L 139.5 243.5 L 151.5 243.5 L 151.5 232.5 z
Addison 01,M 101.5 232.5 L 101.5 282.5 L 112.5 282.5 L 112.5 257.5 L 113.5 256.5 L 125.5 256.5 L 125.5 245.5 L 113.5 245.5 L 112.5 244.5 L 112.5 232.5 z
Gritters 01,M 75.5 232.5 L 75.5 244.5 L 74.5 245.5 L 62.5 245.5 L 62.5 256.5 L 74.5 256.5 L 75.5 257.5 L 75.5 282.5 L 99.5 282.5 L 99.5 245.5 L 87.5 245.5 L 86.5 244.5 L 86.5 232.5 z
Bells Ferry 02,M 36.5 232.5 L 36.5 282.5 L 47.5 282.5 L 47.5 270.5 L 48.5 269.5 L 60.5 269.5 L 60.5 245.5 L 48.5 245.5 L 47.5 244.5 L 47.5 232.5 z
JC07,M 554.5 231.5 L 554.5 243.5 L 553.5 244.5 L 541.5 244.5 L 541.5 268.5 L 553.5 268.5 L 554.5 269.5 L 554.5 281.5 L 565.5 281.5 L 565.5 256.5 L 566.5 255.5 L 578.5 255.5 L 578.5 231.5 z
JC18,M 450.5 231.5 L 450.5 243.5 L 449.5 244.5 L 437.5 244.5 L 437.5 255.5 L 474.5 255.5 L 474.5 243.5 L 475.5 242.5 L 487.5 242.5 L 487.5 231.5 z
